比赛名称,类别,含金量评级,含金量分,报名时间,比赛时间,结果公布时间,奖金,证书,主办单位,官方链接,金融数学/金融就业适配,金融路线价值评分,商赛简历适配,商赛价值评分,数学建模适配,数学建模能力评分,数据分析/量化/风控/投研适配,数据分析量化评分,推荐参加优先级,推荐理由,信息来源,来源页面,更新时间
全国大学生英语竞赛,英语与财经表达类,B,60,通常每年春季,通常每年春季初赛/决赛,以年度通知为准,,获奖证书,高等学校大学外语教学研究会,https://www.chinaneccs.cn/,低,24,低,22,低,20,低,40,P3 低优先级,含金量价值较高，建议优先跟进。,种子数据,https://www.chinaneccs.cn/,2026-05-08
CFA Institute Research Challenge,金融数学 / 金融科技 / 量化 / 风控相关比赛,A,76,以年度通知为准,以年度通知为准,以年度通知为准,,参赛/获奖证明,CFA Institute,https://www.cfainstitute.org/en/societies/challenge,高,100,低,34,低,20,高,92,P1 优先关注,金融路线、数据分析/量化、含金量价值较高，建议优先跟进。,种子数据,https://www.cfainstitute.org/en/societies/challenge,2026-05-08
竞赛组织,数学建模类,S,94,,,,,,,https://www.mcm.edu.cn/html_cn/section/302f2c2355b1179ada9b99a06d7109f5.html,中,46,低,22,高,100,低,32,P2 可选参加,数学建模、含金量价值较高，建议优先跟进。,全国大学生数学建模竞赛官网,https://www.mcm.edu.cn/index.moma,2026-05-08
中国知网,数学建模类,S,100,2026年9月10日,,,,,及合作机构 主办： 中国工业与应用数学学会 合作伙伴及独家冠名赞助商： 高等教育出版社 合作网站： 中国大学生在线网站 合作伙伴及服务支持赞助商： 中国知网 赞助单位： 北京大学重,http://cumcm.cnki.net,中,46,低,22,高,100,低,32,P2 可选参加,数学建模、含金量价值较高，建议优先跟进。,全国大学生数学建模竞赛官网,https://www.mcm.edu.cn/index.moma,2026-05-08
中国高校数学建模课程中心,数学建模类,S,94,,,,,,,http://cumcm.icourses.cn/,中,46,低,22,高,100,低,32,P2 可选参加,数学建模、含金量价值较高，建议优先跟进。,全国大学生数学建模竞赛官网,https://www.mcm.edu.cn/index.moma,2026-05-08
SPSSPRO,数学建模类,S,94,,,,,,,https://www.spsspro.com/?utm_source=cumcm,中,46,低,22,高,100,低,32,P2 可选参加,数学建模、含金量价值较高，建议优先跟进。,全国大学生数学建模竞赛官网,https://www.mcm.edu.cn/index.moma,2026-05-08
苏州同元软控信息技术有限公司,数学建模类,S,94,,,,,,,https://www.tongyuan.cc/?utm_source=cumcm,中,46,低,22,高,100,低,32,P2 可选参加,数学建模、含金量价值较高，建议优先跟进。,全国大学生数学建模竞赛官网,https://www.mcm.edu.cn/index.moma,2026-05-08
《数学建模及其应用》,数学建模类,S,94,,,,,,,http://qxyy.cbpt.cnki.net,中,46,低,22,高,100,低,32,P2 可选参加,数学建模、含金量价值较高，建议优先跟进。,全国大学生数学建模竞赛官网,https://www.mcm.edu.cn/index.moma,2026-05-08
CUMCM通讯2026年第1期（总第67期）,数学建模类,S,94,,,,,,,https://www.mcm.edu.cn/html_cn/node/cd6947d983e4a465e97c42c6ed0602af.html,中,46,低,22,高,100,低,32,P2 可选参加,数学建模、含金量价值较高，建议优先跟进。,全国大学生数学建模竞赛官网,https://www.mcm.edu.cn/index.moma,2026-05-08
大赛通知,创新创业类,A,76,,,,,,,https://t3.chei.com.cn/ncss/cy/web/lib/dasaitongzhi-2025.zip,低,24,中,64,低,20,低,40,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,全国大学生创业服务网,https://cy.ncss.cn/,2026-05-08
挑战杯 全国大学生课外学术科技作品竞赛和创业计划大赛 官方网站 移动版,创新创业类,S,100,,,,,,共青团中央 中国科协 教育部 中国社会科学院 中国工程院 全国学联 Copyright © 2009-2025 All Rights Reserved. 挑战杯全国大学生课外学术科,https://www.tiaozhanbei.net/,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
竞赛简介,创新创业类,A,74,,,,,,的全国性的大学生课外学术实践竞赛，竞赛官方网站为 www.tiaozhanbei.net,https://www.tiaozhanbei.net/focus,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
竞赛章程（大挑）,创新创业类,A,74,,6月1日,,、实际应用价值和创新意义的优秀作品，给予奖励；组织学术交流和科技成果的展览、转让活动。 第二章 组织机构及其职责 第五条 竞赛设立领导小组，由主办单位和承办单位的有关负责人组成，负责指导竞赛活动，并对全国组织委员会和全国评审委员会提交的问题,担申报作品60%以上的研究工作，作品鉴定证书、专利证书及发表的有关作品上的署名均应为第一作者，合作者必须是学生且不得超过2人；凡作者超过3人的项目或者不超过3人，但无法区分第一作者的项目，均须申报集体作品。集体作品的作者必须均为学生。凡有合,和承办单位的有关负责人组成，负责指导竞赛活动，并对全国组织委员会和全国评审委员会提交的问题进行协调和裁决,https://www.tiaozhanbei.net/rules,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
挑战杯动态,创新创业类,A,74,,2025.11.15,,,,,https://www.tiaozhanbei.net/tzb,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
挑战杯丨第十五届“挑战杯”中国大学生创业计划竞赛培训交流（云南站）顺利举办,创新创业类,A,74,,,,,,,https://www.tiaozhanbei.net/article/15838/,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
挑战杯丨第十五届“挑战杯”中国大学生创业计划竞赛培训交流河北站倒计时！,创新创业类,A,74,,,,,,,https://www.tiaozhanbei.net/article/15837/,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
挑战杯丨速来！“挑战杯”竞赛“学霸笔记”上新啦！（三）,创新创业类,A,74,,,,,,,https://mp.weixin.qq.com/s/Iu5xv-Nhr9wm7kit8_404Q?scene=1&click_id=5,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
挑战杯丨第十五届“挑战杯”中国大学生创业计划竞赛培训交流云南站倒计时！,创新创业类,A,74,,,,,,邀请有关省份参加，持续做好竞赛培训交流工作，助力更多高校师生提升备赛水平,https://www.tiaozhanbei.net/article/15834/,低,24,中,64,低,20,低,24,P3 低优先级,含金量、商赛简历价值较高，建议优先跟进。,挑战杯官网,https://www.tiaozhanbei.net/,2026-05-08
数据科学竞赛/大数据 Competitions - DataFountain,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/competitions,低,42,低,22,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
大数据和人工智能,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/competitions/1153,低,42,低,22,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
多模态BadCase极限挑战赛,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/competitions/1104,低,42,低,22,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
基于人工智能的闽江流域水情预报,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/competitions/1102,低,42,低,22,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
盲区突围：模型BadCase极限挑战赛,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/competitions/1097,低,42,低,22,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
中文开源数据集驱动中文大模型智能跃迁挑战赛,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/competitions/1098,低,42,低,22,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
AI赋能数据分析与应用赛,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/competitions/1100,低,42,低,22,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
“睿创杯”第二届高校创新创业大赛,数据分析 / 统计建模类,B,64,,,,,,,https://www.datafountain.cn/special/dzjs,低,42,中,52,中,66,高,100,P2 可选参加,数据分析/量化、数学建模、含金量价值较高，建议优先跟进。,CCF BDCI,https://www.datafountain.cn/competitions,2026-05-08
å ¨å½å¤§å­¦çè±è¯­ç«èµ-NECCS,英语与财经表达类,B,60,,,,,,,https://www.chinaneccs.cn/,低,24,低,22,低,20,低,24,P3 低优先级,含金量价值较高，建议优先跟进。,全国大学生英语竞赛,https://www.chinaneccs.cn/,2026-05-08
